"Model","AICc","Delta","R2","rel_lik","weight"
"Invasive and native traits",28.0114980215365,0,0.113194492327583,1.01403258096195,0.443484202436167
"Null model",28.0393680930944,0.0278700715579632,0,1,0.437347093932091
"Invasive trait",30.6397420498776,2.62824402834111,0.00120153163690584,0.272480840241382,0.119168703631743
