"Model","AICc","Delta","R2","rel_lik","weight"
"Null model",15.8582002024648,0,0,1,0.846641847169513
"Invasive trait",19.2752036075572,3.4170034050924,0.0856386241853886,0.181136986487489,0.153358152830487
