"Model","AICc","Delta","R2","rel_lik","weight"
"Invasive trait",32.3177244193328,0,0.171091485026335,2.25653959657056,0.551869087211877
"Null model",33.9453893951591,1.62766497582634,0,1,0.244564326746402
"Invasive and native traits",34.3123598229381,1.99463540360539,0.101964078031879,0.832364183075671,0.203566586041721
