"Model","AICc","Delta","R2","rel_lik","weight"
"Null model",105.941438221851,0,0,1,0.435187056267508
"Invasive trait",106.258721658532,0.317283436680654,0.0192286526055706,0.853302026674615,0.371345997095624
"Invasive and native traits",107.562776769056,1.62133854720491,0.00640363473093686,0.444560434072159,0.193466946636868
