M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Rich_UI,Rich_UI,Nat,Inv,N_Height,I_Height,N_Nitr,I_Nitr,Y,X
0.1405,0.0308,72,0.121233333,0.0161,72,-9999,-9999,Grass sp,Melilotus spp,,,,,40.35,-105.5841064
1,0.06,5,0.93,0.12,5,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,,,19.41972222,-154.9538889
0.37083,0.0969,5,0.65545,0.11637,5,6,10,Eleocharis smallii,Typha x glauca,,,,,45.663007,-84.423323
0.09931,0.02703,5,0.2146,0.0875,5,6,10,Eleocharis smallii,Typha x glauca,,,,,45.663007,-84.423323
4.35175,1.0032,25,6.06655,1.2829,25,-9999,-9999,Styphelia tameiameiae,Melinis minutiflora,,,,,21.125,-156.9583333
0.5217,0.2235,18,10.5466,4.6956,18,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,,,37.69027778,-89.25388889
2601.3,411.7,24,2440.3,308.2,24,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,4,,,34.83333333,-114.5833333
92,19,24,105.3,14,24,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,4,,,34.83333333,-114.5833333
4022.4,566.4,24,3595.2,422.4,24,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,4,,,34.83333333,-114.5833333
3.7,0.7,24,5.2,0.5,24,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,4,,,34.83333333,-114.5833333
0.1,0.1,24,0.2,0.1,24,-9999,-9999,Pluchea sericea,Tamarix ramosissima,,4,,,34.83333333,-114.5833333
24.4,1.4,5,20.1,2.4,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,,,39.33536,-123.800812
28.9449,2.677699189,4,28.18046667,3.91183806,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,,,40.56666667,-3.2
1.404666667,0.104109805,4,1.5073,0.117675975,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,,,40.56666667,-3.2
0.123566667,0.007051618,4,0.164266667,0.007527471,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,,,40.56666667,-3.2
18.8896,1.390717276,4,31.02166667,1.484925047,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,2071,278,40.56666667,-3.2
20.0727,1.272959731,4,18.04346667,1.186430906,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,2071,278,40.56666667,-3.2
81.2,1.7,5,71.8,2.3,5,-9999,-9999,Themeda trianda,Pennisetum polystachion,,0.3,,,-13.15,130.65
1.6,0.1,6,1.3,0.05,6,,,Forb spp,Aegilops triuncialis,,,,,38.925229,-122.412415
7.5,0.4,6,4.8,0.2,6,,,Forb spp,Aegilops triuncialis,,,,,38.925229,-122.412415
0.1347,0.0064,4,0.1228,0.0082,4,-9999,-9999,Festuca arundinacea,Cortaderia selloana,0.55,2.7432,,,42.22302,3.085184
0.1429,0.0059,4,0.1209,0.0038,4,-9999,-9999,Festuca arundinacea,Cortaderia selloana,0.55,2.7432,,,42.22302,3.085184
0.79,0.03,4,1.32,0.075,4,-9999,-9999,NA,Mikania micrantha,,,,,23.16666667,112.1666667
0.17,0.020412415,6,0.22,0.016329932,6,8,1,Dactylis glomerata,Solidago gigantea,1.2,2.49936,445,,50.85,4.416667
0.36,0.020412415,6,0.36,0.020412415,6,8,1,Calamagrostis epigejos,Solidago gigantea,,2.49936,,,50.453569,3.819122
7.563102739,1.359878163,6,0.272709332,1.452446017,6,10,6,Petasites hybridus,Fallopia japonica,0.575,2,,,50.79194444,4.408333333
0.2424,0.0116,6,0.2424,0.0066,6,5,1,Rubus sp,Fallopia japonica,0.5,2,479,,50.78611111,4.4175
7.563102739,1.217306665,6,0.272709332,1.341837732,6,4,4,Urtica dioica,Fallopia japonica,1.5,2,,,50.57222222,4.711666667
7.563102739,1.458478395,6,0.272709332,1.315527709,6,9,1,Urtica dioica,Fallopia japonica,1.5,2,,,50.38694444,4.441666667
0.2647,0.0392,6,0.2827,0.0196,6,9,1,Urtica dioica,Fallopia japonica,1.5,2,,,50.38694444,4.441666667
7.563102739,1.037767343,6,0.272709332,1.248820445,6,5,1,Rubus sp,Fallopia japonica,0.5,2,479,,50.78638889,4.420833333
0.4061,0.0703,6,0.2327,0.0639,6,5,1,Rubus sp,Fallopia japonica,0.5,2,479,,50.78638889,4.420833333
9.5,0.8,3,12.2,4.2,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,,,38.24878,-109.873495
14.3401,12.60188303,9,11.38675,10.08944221,9,1,1,Vaccinium spp,Berberis thunbergii,,1.8288,,,40.764845,-74.531681
1.602566667,0.271795256,3,1.970366667,0.22980983,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,,,38.09527778,-109.8419444
0.4808,0.058716049,5,0.23805,0.083219075,5,1,1,Typha latifolia,Lythrum salicaria,1.5,0.8,,,43,-76.75
71.28053333,8.584433333,5,41.575,8.5837,5,1,1,Typha latifolia,Lythrum salicaria,1.5,0.8,,,43,-76.75
639.6827667,56.85870022,5,919.1299667,123.5353463,5,1,1,Typha latifolia,Lythrum salicaria,1.5,0.8,,,43,-76.75
26.2,0.9,10,33.8,1.8,10,,,Banksia spp,Ehrharta calycina,,1.2192,,,-31.947447,115.781136
468,19,20,609,40,20,,,Banksia spp,Pelargonium capitatum,,,,,-31.947556,115.78105
0.008,0.011,4,0.012,0.011,4,2,1,Metrosideros polymorpha,Hedychium gardnerianum,20,,,,19.41666667,-155.25
427.1,20.05826236,18,454.67,28.32198361,18,,,Festuca idahoensis,Cytisus scoparius,0.6096,2,,244,46.91666667,-123.2666667
1.2427,0.2982,12,3.7595,0.4805,12,,,Festuca idahoensis,Cytisus scoparius,0.6096,2,,244,46.91666667,-123.2666667
0.2257,0.0197,6,0.2011,0.0312,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,25.39833333,-110.7033333
0.398,0.0753,6,0.3931,0.0589,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,46.55,-111.7616667
0.3242,0.0213,6,0.3225,0.0212,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.77833333,-111.26
0.2454,0.0097,6,0.2438,0.0082,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.59833333,-111.195
0.3455,0.0131,6,0.3161,0.0229,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.665,-110.6916667
0.2668,0.0196,6,0.2111,0.0147,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.64333333,-110.9216667
13.22405,12.01847514,9,27.65055,24.84694092,9,1,1,Vaccinium spp,Berberis thunbergii,,1.8288,,,41.0005,-75.090315
18.348,0.353,50,26.773,1.203,69,-9999,-9999,NA,Acacia saligna,,,,,-33.513919,18.549385
0.129,0.009,50,0.16,0.01,69,-9999,-9999,NA,Acacia saligna,,,,,-33.513919,18.549385
0.2,0.02857738,6,0.17,0.004082483,6,8,3,Epilobium hirsutum,Solidago gigantea,2,2.49936,,,50.25936,6.06888
0.27,0.053072278,6,0.44,0.081649658,6,5,4,Agrostis spp,Prunus serotina,,15.2,,1638,51.21992,4.39625
0.59,0.163299316,6,0.38,0.020412415,6,5,1,Eupatorium cannabinum,Fallopia japonica,1,2,,,51.05844,5.27176
27.5,1.94537914,20,29.3,0.804984472,20,,,NA,Robinia pseudoacacia,,27,,278,41.935998,-70.044708
-0.0519,0.04745,2,-0.18785,0.18905,5,,,Metrosideros polymorpha,Myrica faya,20,8,,1975,19.344837,-155.474396
0.0158,0.0699,2,0,0.04155,5,,,Metrosideros polymorpha,Myrica faya,20,8,,1975,19.344837,-155.474396
1.97355,0.521425094,16,2.07025,0.531930037,16,-9999,-9999,Metrosideros polymorpha,Schizachyrium condensatum,20,,,,19.1,-155.55
0.43735,0.349545085,16,0.57535,0.419171845,16,-9999,-9999,Metrosideros polymorpha,Schizachyrium condensatum,20,,,,19.1,-155.55
0.98915,0.397957184,16,0.89505,0.301203206,16,-9999,-9999,Metrosideros polymorpha,Schizachyrium condensatum,20,,,,19.1,-155.55
3.34,0.31,14,3.48,0.3,14,9.71,8.21,NA,Solidago gigantea,,2.49936,,,46.78333333,6.15
15.5803,1.8919,6,13.967,3.1894,6,-9999,-9999,Artemisia californica,Bromus madritensis,1.5,0.132,,437,32.600626,-117.127991
15.5803,1.8919,6,13.967,3.1894,6,-9999,-9999,Artemisia californica,Bromus madritensis,1.5,0.132,,437,32.600626,-117.127991
1.55,0.067168232,7,0.635,0.021782857,7,1,1,Taxodium distichum,Melaleuca quinquenervia,40,8,1579,,25.995081,-81.482849
